label,L_x0,L_y0,L_z0,L_x1,L_y1,L_z1,L_x2,L_y2,L_z2,L_x3,L_y3,L_z3,L_x4,L_y4,L_z4,L_x5,L_y5,L_z5,L_x6,L_y6,L_z6,L_x7,L_y7,L_z7,L_x8,L_y8,L_z8,L_x9,L_y9,L_z9,L_x10,L_y10,L_z10,L_x11,L_y11,L_z11,L_x12,L_y12,L_z12,L_x13,L_y13,L_z13,L_x14,L_y14,L_z14,L_x15,L_y15,L_z15,L_x16,L_y16,L_z16,L_x17,L_y17,L_z17,L_x18,L_y18,L_z18,L_x19,L_y19,L_z19,L_x20,L_y20,L_z20,R_x0,R_y0,R_z0,R_x1,R_y1,R_z1,R_x2,R_y2,R_z2,R_x3,R_y3,R_z3,R_x4,R_y4,R_z4,R_x5,R_y5,R_z5,R_x6,R_y6,R_z6,R_x7,R_y7,R_z7,R_x8,R_y8,R_z8,R_x9,R_y9,R_z9,R_x10,R_y10,R_z10,R_x11,R_y11,R_z11,R_x12,R_y12,R_z12,R_x13,R_y13,R_z13,R_x14,R_y14,R_z14,R_x15,R_y15,R_z15,R_x16,R_y16,R_z16,R_x17,R_y17,R_z17,R_x18,R_y18,R_z18,R_x19,R_y19,R_z19,R_x20,R_y20,R_z20
FORWARD,0.849083662,0.935498178,4.97E-07,0.775812507,0.930267096,-0.036262225,0.704689741,0.878903627,-0.05710762,0.650678873,0.846323371,-0.077851877,0.600906491,0.833979845,-0.098041549,0.775703192,0.717326522,-0.042967122,0.778326452,0.606847882,-0.069687642,0.779189646,0.533927083,-0.087353066,0.782351494,0.460407317,-0.100344501,0.828996003,0.708486617,-0.04701991,0.826571405,0.580215156,-0.076430306,0.824378908,0.495635867,-0.094880365,0.826369166,0.412503272,-0.109268956,0.877613068,0.731678963,-0.054592632,0.909604073,0.663448095,-0.102530926,0.892161727,0.761495709,-0.108576536,0.871253848,0.84092778,-0.102546684,0.922760427,0.77610743,-0.064408995,0.95116359,0.723601103,-0.105127111,0.936237574,0.783793569,-0.107080027,0.91367656,0.842082858,-0.102162287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORWARD,0.838731587,0.938195169,5.14E-07,0.76672852,0.931564808,-0.036898337,0.694952071,0.877996445,-0.057983231,0.639225781,0.843895376,-0.078749038,0.588937998,0.832980096,-0.099182993,0.76328373,0.718424618,-0.044832136,0.765824616,0.607313514,-0.072680756,0.766874433,0.532823324,-0.090895832,0.769620895,0.458337367,-0.103968382,0.817627728,0.708672166,-0.048953597,0.813756049,0.578790545,-0.079407088,0.811230004,0.494080871,-0.097897932,0.812082946,0.411356509,-0.111726277,0.86754185,0.730668485,-0.056523293,0.896244287,0.663457334,-0.105527766,0.87890929,0.765208721,-0.111146666,0.857980371,0.846313715,-0.104182743,0.913329542,0.773339868,-0.066307992,0.938539743,0.721116662,-0.106989734,0.923778415,0.784490287,-0.107815489,0.902237773,0.845312655,-0.101732783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORWARD,0.835567296,0.943634093,5.01E-07,0.760904133,0.934315681,-0.03465401,0.687098086,0.881158769,-0.054448392,0.630421221,0.849238992,-0.074424855,0.579509377,0.839957356,-0.093812548,0.756075382,0.721496344,-0.041273225,0.756965637,0.608093321,-0.0681962,0.75725621,0.535332203,-0.086022891,0.759831488,0.461781889,-0.098966323,0.810117126,0.712525487,-0.045644369,0.805545807,0.584528327,-0.074704587,0.802049816,0.499732852,-0.092707962,0.802773774,0.415584207,-0.10653878,0.860011935,0.734353364,-0.053457767,0.887522817,0.668417096,-0.100102067,0.870439887,0.767469823,-0.105365343,0.85054332,0.847696304,-0.098780766,0.906566858,0.776724041,-0.063489765,0.932324648,0.726030409,-0.102415077,0.916522086,0.786918879,-0.103452779,0.894073904,0.846483588,-0.097888522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORWARD,0.8274979,0.946042001,5.38E-07,0.752932906,0.934931695,-0.034889746,0.678789854,0.88227725,-0.054916028,0.620896459,0.851385951,-0.075135775,0.569922686,0.846576691,-0.094891839,0.742852151,0.723759651,-0.040976871,0.743442178,0.607319474,-0.068774417,0.74341321,0.534420729,-0.087317534,0.745634556,0.462416291,-0.100479223,0.796885192,0.714246929,-0.045726687,0.792371452,0.586384058,-0.07600116,0.788107097,0.501652181,-0.094446383,0.787837327,0.419240564,-0.108044483,0.84689796,0.735216916,-0.054069947,0.873488069,0.672370851,-0.101471119,0.855975866,0.770091712,-0.107013099,0.836130619,0.850566506,-0.100321956,0.892499924,0.775823414,-0.064656593,0.915839612,0.727138996,-0.103611231,0.900081873,0.789074659,-0.104255982,0.878563404,0.850807071,-0.0982759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORWARD,0.81654942,0.944045842,5.23E-07,0.74319917,0.934223115,-0.035304148,0.669171989,0.883408844,-0.055880003,0.610404253,0.852664709,-0.076510929,0.558461666,0.8450315,-0.096481107,0.732890248,0.722007275,-0.041272264,0.733044982,0.606496394,-0.068965234,0.731804907,0.534873962,-0.087487422,0.732976675,0.464020312,-0.100696146,0.78563863,0.712360799,-0.045592483,0.780157328,0.586918712,-0.076118276,0.775230289,0.503773332,-0.094750062,0.774658024,0.422446281,-0.108451083,0.835030317,0.733500123,-0.053432129,0.860852897,0.67361325,-0.10069491,0.843349814,0.773556828,-0.105701856,0.823774993,0.854689479,-0.098627321,0.880402744,0.774665534,-0.063584559,0.902508378,0.728898346,-0.102579936,0.886830091,0.790100098,-0.1031394,0.865756869,0.849768162,-0.096960284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORWARD,0.805298626,0.946823776,5.53E-07,0.731107473,0.936688185,-0.033443224,0.656269431,0.88543725,-0.053031269,0.598532081,0.852514148,-0.072945043,0.547572792,0.847267151,-0.09245009,0.719309926,0.720498681,-0.039573878,0.719846427,0.603327453,-0.067676015,0.719545186,0.531319976,-0.086832777,0.720812023,0.460791588,-0.100369848,0.772588193,0.709896266,-0.044707596,0.766329587,0.584128439,-0.075867578,0.762069046,0.501403809,-0.095488831,0.761095941,0.419976503,-0.109511949,0.823115051,0.729378581,-0.053084288,0.844737053,0.676339984,-0.099178098,0.826868594,0.773085237,-0.104381204,0.806864202,0.849771321,-0.097710639,0.868962884,0.769428194,-0.063736349,0.88773942,0.727845967,-0.100902379,0.872048676,0.787500203,-0.100849301,0.85168457,0.844382703,-0.094448112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORWARD,0.793919981,0.952371895,5.48E-07,0.717591524,0.936594605,-0.031413861,0.643250406,0.883359313,-0.049787,0.584601581,0.849224508,-0.069073379,0.532968163,0.845065773,-0.088147759,0.706136227,0.717891574,-0.033867758,0.704762101,0.60283941,-0.061382696,0.703270257,0.531393349,-0.080774575,0.702752709,0.460288286,-0.09458711,0.759146929,0.707587481,-0.039933246,0.751749158,0.582408488,-0.069248818,0.747206628,0.501621068,-0.08779221,0.745322406,0.421257198,-0.100949615,0.809562266,0.729100049,-0.049620386,0.827587962,0.676752031,-0.094953455,0.812066615,0.773392081,-0.100456543,0.794851899,0.850113928,-0.093733326,0.855314791,0.771602929,-0.061393768,0.872661173,0.73244822,-0.09807983,0.856731772,0.793872476,-0.098325051,0.83657968,0.852143288,-0.092030026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORWARD,0.7874071,0.952364385,5.21E-07,0.709913731,0.931614578,-0.029291451,0.634529352,0.875048757,-0.045739736,0.575496972,0.842368841,-0.063526601,0.524168253,0.837918878,-0.081374966,0.69551152,0.709973514,-0.028517615,0.693371654,0.596817374,-0.054365017,0.691396177,0.526339531,-0.072987169,0.690029263,0.456853747,-0.0863415,0.749023378,0.70035708,-0.035165116,0.74301827,0.57581228,-0.062700622,0.737298369,0.496227026,-0.080787681,0.733454645,0.416609436,-0.093648747,0.799442649,0.722957611,-0.045611497,0.815838933,0.666847944,-0.089846984,0.800030172,0.760887206,-0.096607551,0.782777011,0.835950613,-0.090904355,0.844817698,0.76686269,-0.057835322,0.860445857,0.725593388,-0.093629859,0.84312129,0.786751688,-0.094398931,0.821829438,0.846041441,-0.088691823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORWARD,0.777997434,0.951941371,5.35E-07,0.699100614,0.931023479,-0.030157696,0.622720897,0.875303209,-0.047847226,0.562286258,0.841850996,-0.066678092,0.510635674,0.837255895,-0.085332692,0.685396254,0.70953548,-0.030462999,0.68303889,0.593898714,-0.057117283,0.680947721,0.522670686,-0.07582923,0.679650307,0.451366007,-0.088991784,0.737904847,0.698850751,-0.036549661,0.730470538,0.572008967,-0.06483072,0.724469662,0.493112206,-0.08272285,0.721020877,0.414760321,-0.094977662,0.788061798,0.718927085,-0.046353225,0.801730394,0.668659806,-0.090404451,0.785636544,0.763523638,-0.096670128,0.76908356,0.838525295,-0.090372823,0.833678007,0.759619951,-0.058107443,0.84542352,0.726378262,-0.092917062,0.828133702,0.790008545,-0.09321408,0.808305204,0.848439276,-0.087030232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORWARD,0.760600924,0.958609521,5.64E-07,0.682327092,0.938788891,-0.030604348,0.607172191,0.883859098,-0.049215425,0.546926379,0.853127241,-0.068771511,0.495978236,0.848525405,-0.08814019,0.669728041,0.715033174,-0.031445347,0.665649116,0.600987732,-0.058770631,0.663187861,0.531525016,-0.077862345,0.660985172,0.463113785,-0.091059715,0.722062826,0.704642296,-0.037686288,0.715592146,0.578277349,-0.06659399,0.709098279,0.501623273,-0.084853642,0.703837097,0.425245047,-0.09676946,0.771992326,0.726067424,-0.047542341,0.783312559,0.681445897,-0.091362163,0.767509639,0.776137233,-0.097291291,0.751097798,0.848013043,-0.090653069,0.81679523,0.769767165,-0.059336789,0.828139782,0.741613865,-0.093250766,0.811355889,0.805523574,-0.092470989,0.791737616,0.861814916,-0.085459515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
